Contract,Price,Year,Make&Model,Location,Miles
Sold,2700,1988,Honda prelude,"Fords, NJ",135000
Sold,1500,1994,Honda prelude VTEC Coupe 2D,"Huntington Station, NY",300
Sold,3500,1997,Honda prelude Coupe 2D,"Huntington Station, NY",18000
Sold,3500,1993,Honda prelude VTEC Coupe 2D,"Peekskill, NY",141000
