Contract,Price,Year,Make&Model,Location,Miles
Sold,9400,2018,Ford ecosport SE Sport Utility 4D,"Philadelphia, PA",46000
Sold,12600,2018,Ford ecosport Titanium Sport Utility 4D,"Reading, PA",49000
Sold,15700,2019,Ford ecosport SES Sport Utility 4D,"Barre, MA",68000
Sold,12000,2021,Ford ecosport S Sport Utility 4D,"Fairview, PA",82000
Sold,17860,2018,Ford ecosport Titanium Ulity Sport,"Oneida, NY",52000
Sold,15898,2018,Ford ecosport SE Sport Utility 4D,"Mt Joy, PA",69000
Sold,19600,2020,Ford ecosport SE Sport Utility 4D,"Castile, NY",27000
Sold,19797,2021,Ford ecosport S Sport Utility 4D,"East Greenbush, NY",45000
