Contract,Price,Year,Make&Model,Location,Miles
Pending,5500,2004,Subaru wrx manual,"Flushing, NY",183000
Sold,4000,2011,Subaru impreza wrx premium,"Point Pleasant Beach, NJ",130000
Sold,28945,2020,Subaru wrx premium cvt,"Teterboro, NJ",17000
