Contract,Price,Year,Make&Model,Location,Miles,Category
Pending,3500,1990,Mitsubishi minicab Sport,"Winsted, CT",60000,A
Sold,5800,1993,Mitsubishi minicab,"Shippensburg, PA",4400,B
Sold,6500,2000,Mitsubishi minicab,"Rhinebeck, NY",12000,B
Sold,8800,1996,Mitsubishi minicab mini truck 4x4 kei jdm,"Coatesville, PA",45000,B
