Contract,Price,Year,Make&Model,Location,Miles
Pending,1700,2003,Toyota celica GT Hatchback Coupe 2D,"Staten Island, NY",173000
Sold,1000,1994,Toyota celica ST Sport Coupe 2D,"Middletown, NY",177000
Sold,1170,1994,Toyota celica ST Liftback Hatchback 2D,"Middletown, NY",177000
Sold,2000,2002,Toyota celica GT Hatchback Coupe 2D,"Island Park, NY",133000
Sold,2500,2000,Toyota celica GT Hatchback Coupe 2D,"Brentwood, NY",124000
Sold,4500,2002,Toyota celica GT Hatchback Coupe 2D,"Stony Point, NY",65000
Sold,4000,2004,Toyota celica GT Hatchback 2D,"Cortlandt Manor, NY",10000
Sold,4500,2003,Toyota celica GT Hatchback Coupe 2D,"East Brunswick, NJ",182000
Sold,6995,2000,Toyota celica GT-S Hatchback Coupe 2D,"White Plains, NY",117000
