Contract,Price,Year,Make&Model,Location,Miles
Sold,3700,2016,Nissan leaf,"Windsor Mill, MD",170000
Pending,1500,2013,Nissan leaf S Hatchback 4D,"Pittsburgh, PA",86000
Sold,4500,2012,Nissan leaf SV Hatchback 4D,"Stratford, NJ",23000
Sold,4997,2012,Nissan leaf,"Needham, MA",59000
