Contract,Price,Year,Make&Model,Location,Miles,Category
Pending,7800,1998,Daihatsu hijet deckvan auto 2wd 660cc fi RHD FUEL INJECTED COLD AC 2 WD,"Pasadena, MD",130000,B
Pending,6200,1994,Daihatsu hijet,"Canterbury, CT",38000,B
Sold,3500,1988,Daihatsu hijet,"West Hartford, CT",45000,A
