Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1400,2000,Mitsubishi diamante LS Sedan 4D,"Annapolis, MD",137000,A
Sold,1500,2000,Mitsubishi diamante ES Sedan 4D,"Annapolis, MD",137000,A
