Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,12500,2013,Subaru brz Limited Coupe 2D,"Flemington, NJ",86000,C
Sold,8400,2014,Subaru brz Limited Coupe 2D,"Beltsville, MD",124000,B
Sold,12000,2014,Subaru brz Premium Coupe 2D,"Staten Island, NY",106000,C
Sold,9500,2013,Subaru brz Premium Coupe 2D,"Elizabeth, NJ",109000,B
Sold,18500,2022,Subaru brz Limited Coupe 2D,"Massapequa, NY",10000,D
Sold,6000,2013,Subaru brz Limited Coupe 2D,"North Providence, RI",93000,B
Sold,12000,2013,Subaru brz Premium Coupe 2D,"Fredericksburg, VA",78000,C
Sold,11000,2013,Subaru brz,"Burlington, VT",125000,C
