Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,4000,2003,Audi tt Coupe 2D,"Salisbury Mills, NY",99000,A
Pending,4800,2003,Audi tt Coupe 2D,"Bayonne, NJ",135000,A
Sold,19995,2001,Audi tt,"Wantagh, NY",28000,D
