Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,13900,2016,Jeep renegade trail hawk,"Farmingdale, NY",87000,C
Sold,16860,2017,Jeep renegade Latitude Sport Utility 4D,"Piscataway, NJ",57000,D
Sold,13995,2017,Jeep renegade,"Fort Lee, NJ",89000,C
Sold,9500,2015,Jeep renegade Latitude Sport Utility 4D,"North Bergen, NJ",98000,B
Sold,14495,2017,Jeep renegade Limited Sport Utility 4D,"Hillside, NJ",113000,C
Sold,12000,2015,Jeep renegade Trailhawk Sport Utility 4D,"Yonkers, NY",110000,C
Sold,13500,2016,Jeep renegade Sport SUV 4D,"Clifton, NJ",101000,C
