Contract,Price,Year,Make&Model,Location,Miles
Sold,24000,2015,BMW m4 Coupe 2D,"New Rochelle, NY",91000
Sold,5000,2022,BMW m4,"Valley Stream, NY",10000
Sold,35000,2015,BMW m4 Coupe 2D,"New Rochelle, NY",80000
