Contract,Price,Year,Make&Model,Location,Miles,Category
Pending,12800,2012,"Mercedes-Benz sprinter 2500 cargo Extended w/170"" WB Van 3D","Bronx, NY",82000,C
Sold,4000,2007,Mercedes-Benz gl-class GL 450 Sport Utility 4D,"Lodi, NJ",103000,A
Sold,19500,2002,Mercedes-Benz g-class G 500 Sport Utility 4D,"Bronx, NY",266000,D
Sold,10000,2006,Mercedes-Benz s55 amg,"Roslyn Heights, NY",119000,B
Sold,6000,2017,Mercedes-Benz Metris Passenger,"Middletown, NY",180000,B
Sold,23500,2013,Mercedes-Benz gl 550,"Stamford, CT",85000,E
Sold,3300,2001,Mercedes-Benz e-class E 320 Wagon 4D,"Hewlett, NY",134000,A
